Title,RecommendedTitles
Toy Story (1995),"Aladdin and the King of Thieves (1996)|American Tail, An (1986)|American Tail: Fievel Goes West, An (1991)|Rugrats Movie, The (1998)|Bug's Life, A (1998)|Toy Story 2 (1999)|Saludos Amigos (1943)|Chicken Run (2000)|Adventures of Rocky and Bullwinkle, The (2000)|Goofy Movie, A (1995)"
As Good As It Gets (1997),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
King of New York (1990),"New York Cop (1996)|Set It Off (1996)|Wisdom (1986)|Detroit 9000 (1973)|Mod Squad, The (1999)|Dick Tracy (1990)|Hard-Boiled (Lashou shentan) (1992)|Fatal Beauty (1987)|Gone in 60 Seconds (2000)|Shaft (1971)"
"Paralyzing Fear: The Story of Polio in America, A (1998)",Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)
Men With Guns (1997),"Target (1995)|Perfect World, A (1993)|Program, The (1993)|Romper Stomper (1992)|Palookaville (1996)|Johnny 100 Pesos (1993)|Marked for Death (1990)|Mad City (1997)|Men of Means (1998)|Tokyo Fist (1995)"
"Sadness of Sex, The (1995)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Twilight (1998),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)|Pulp Fiction (1994)|Jason's Lyric (1994)|Carlito's Way (1993)|Cyclo (1995)|Killer: A Journal of Murder (1995)|Angel on My Shoulder (1946)|They Made Me a Criminal (1939)"
U.S. Marshalls (1998),"Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)|Die Hard: With a Vengeance (1995)|Natural Born Killers (1994)|River Wild, The (1994)|Mirage (1995)|Blown Away (1994)|Fugitive, The (1993)|In the Line of Fire (1993)"
Welcome to Woop-Woop (1997),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Love and Death on Long Island (1997),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
"Callejón de los milagros, El (1995)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
In God's Hands (1998),"Target (1995)|Perfect World, A (1993)|Program, The (1993)|Romper Stomper (1992)|Palookaville (1996)|Johnny 100 Pesos (1993)|Marked for Death (1990)|Mad City (1997)|Men of Means (1998)|Tokyo Fist (1995)"
Everest (1998),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)
Hush (1998),"Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)|Jade (1995)|Mute Witness (1994)|Safe (1995)|Tie That Binds, The (1995)|Dream Man (1995)|Hideaway (1995)|Poison Ivy II (1995)"
Suicide Kings (1997),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)|Pulp Fiction (1994)|Jason's Lyric (1994)|Carlito's Way (1993)|Cyclo (1995)|Killer: A Journal of Murder (1995)|Angel on My Shoulder (1946)|They Made Me a Criminal (1939)"
"Man in the Iron Mask, The (1998)","Cyrano de Bergerac (1990)|First Knight (1995)|Excalibur (1981)|Bodyguard, The (1992)|Breathless (1983)|Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)"
"Newton Boys, The (1998)","Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)|Pulp Fiction (1994)|Jason's Lyric (1994)|Carlito's Way (1993)|Cyclo (1995)|Killer: A Journal of Murder (1995)|Angel on My Shoulder (1946)|They Made Me a Criminal (1939)"
Wild Things (1998),"Copycat (1995)|Amateur (1994)|Kiss of Death (1995)|Client, The (1994)|Guilty as Sin (1993)|Fargo (1996)|Once Upon a Time in America (1984)|MURDER and murder (1996)|Cop Land (1997)|Desperate Measures (1998)"
Paulie (1998),"Herbie Rides Again (1974)|Jingle All the Way (1996)|Candleshoe (1977)|Herbie Goes Bananas (1980)|Herbie Goes to Monte Carlo (1977)|Muppet Treasure Island (1996)|Willy Wonka and the Chocolate Factory (1971)|Borrowers, The (1997)|Condorman (1981)|Inspector Gadget (1999)"
"Cool Dry Place, A (1998)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Hana-bi (1997),Two Crimes (1995)|Dog Day Afternoon (1975)|Mystery Train (1989)|Best Men (1997)|Midnight in the Garden of Good and Evil (1997)|Lethal Weapon 4 (1998)|Lethal Weapon (1987)|Lethal Weapon 2 (1989)|Lethal Weapon 3 (1992)|Montana (1998)
Primary Colors (1998),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Niagara, Niagara (1997)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Wide Awake (1998),"Babe (1995)|Pollyanna (1960)|Waiting to Exhale (1995)|To Die For (1995)|Big Green, The (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Dunston Checks In (1996)|Nobody Loves Me (Keiner liebt mich) (1994)"
"Price Above Rubies, A (1998)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Eden (1997),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Two Girls and a Guy (1997),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
No Looking Back (1998),"American President, The (1995)|Something to Talk About (1995)|Don Juan DeMarco (1995)|Corrina, Corrina (1994)|I Like It Like That (1994)|What Happened Was... (1994)|Emma (1996)|Twelfth Night (1996)|Cinema Paradiso (1988)|Wings of Desire (Der Himmel über Berlin) (1987)"
Storefront Hitchcock (1997),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Proposition, The (1998)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Object of My Affection, The (1998)",Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)
Meet the Deedles (1998),"Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)|Flintstones, The (1994)|Richie Rich (1994)|Little Big League (1994)|Little Rascals, The (1994)|Home Alone (1990)|Harriet the Spy (1996)|Matilda (1996)"
Homegrown (1998),Another Stakeout (1993)|Head Above Water (1996)|Tainted (1998)|Zero Effect (1998)|Junk Mail (1997)|Family Plot (1976)|Mona Lisa (1986)|Teaching Mrs. Tingle (1999)|Nurse Betty (2000)|So I Married an Axe Murderer (1993)
"Player's Club, The (1998)","Target (1995)|Perfect World, A (1993)|Program, The (1993)|Romper Stomper (1992)|Palookaville (1996)|Johnny 100 Pesos (1993)|Marked for Death (1990)|Mad City (1997)|Men of Means (1998)|Tokyo Fist (1995)"
Barney's Great Adventure (1998),"Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)|Far From Home: The Adventures of Yellow Dog (1995)|Secret Adventures of Tom Thumb, The (1993)|Black Beauty (1994)|Lassie (1994)|Andre (1994)|Homeward Bound II: Lost in San Francisco (1996)|Flipper (1996)"
"Big One, The (1997)","Roger & Me (1989)|It Came from Hollywood (1982)|Original Kings of Comedy, The (2000)|Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|Across the Sea of Time (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)"
Chinese Box (1997),"Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)"
Follow the Bitch (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Lost in Space (1998),"Johnny Mnemonic (1995)|Nemesis 2: Nebula (1995)|Terminator 2: Judgment Day (1991)|Solo (1996)|Arrival, The (1996)|Lawnmower Man, The (1992)|Terminator, The (1984)|Face/Off (1997)|Matrix, The (1999)|eXistenZ (1999)"
Heaven's Burning (1997),"Target (1995)|Perfect World, A (1993)|Program, The (1993)|Romper Stomper (1992)|Palookaville (1996)|Johnny 100 Pesos (1993)|Marked for Death (1990)|Mad City (1997)|Men of Means (1998)|Tokyo Fist (1995)"
Mercury Rising (1998),"Guardian Angel (1994)|Outbreak (1995)|Tough and Deadly (1995)|Condition Red (1995)|Hostile Intentions (1994)|Smilla's Sense of Snow (1997)|Fire Down Below (1997)|Born American (1986)|Get Carter (2000)|Devil's Own, The (1997)"
"Spanish Prisoner, The (1997)","Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)|Mary Reilly (1996)|City Hall (1996)|Taxi Driver (1976)|Babysitter, The (1995)|Disclosure (1994)|Death and the Maiden (1994)|Dolores Claiborne (1994)"
City of Angels (1998),"Persuasion (1995)|Modern Affair, A (1995)|Jack and Sarah (1995)|Promise, The (Versprechen, Das) (1994)|Walking and Talking (1996)|Crude Oasis, The (1995)|1-900 (1994)|Liebelei (1933)|Affair to Remember, An (1957)|Madagascar Skin (1995)"
"Last Days of Disco, The (1998)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Odd Couple II, The (1998)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
My Giant (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
He Got Game (1998),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Gingerbread Man, The (1998)","Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)|Mary Reilly (1996)|City Hall (1996)|Taxi Driver (1976)|Babysitter, The (1995)|Disclosure (1994)|Death and the Maiden (1994)|Dolores Claiborne (1994)"
Illtown (1996),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)|Pulp Fiction (1994)|Jason's Lyric (1994)|Carlito's Way (1993)|Cyclo (1995)|Killer: A Journal of Murder (1995)|Angel on My Shoulder (1946)|They Made Me a Criminal (1939)"
Slappy and the Stinkers (1998),"Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)|Flintstones, The (1994)|Richie Rich (1994)|Little Big League (1994)|Little Rascals, The (1994)|Home Alone (1990)|Harriet the Spy (1996)|Matilda (1996)"
Live Flesh (1997),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Zero Effect (1998),Another Stakeout (1993)|Head Above Water (1996)|Tainted (1998)|Homegrown (1998)|Junk Mail (1997)|Family Plot (1976)|Mona Lisa (1986)|Teaching Mrs. Tingle (1999)|Nurse Betty (2000)|So I Married an Axe Murderer (1993)
Nil By Mouth (1997),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Ratchet (1996),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)|Mary Reilly (1996)|City Hall (1996)|Taxi Driver (1976)|Babysitter, The (1995)|Disclosure (1994)|Death and the Maiden (1994)|Dolores Claiborne (1994)"
"Borrowers, The (1997)","Willy Wonka and the Chocolate Factory (1971)|Kid in King Arthur's Court, A (1995)|Space Jam (1996)|Honey, I Shrunk the Kids (1989)|Jumanji (1995)|Kids of the Round Table (1995)|Indian in the Cupboard, The (1995)|NeverEnding Story III, The (1994)|Santa Clause, The (1994)|Kazaam (1996)"
Prince Valiant (1997),"Phantom, The (1996)|Mark of Zorro, The (1940)|Macao (1952)|Treasure of the Sierra Madre, The (1948)|Man Who Would Be King, The (1975)|Mutiny on the Bounty (1935)|Firewalker (1986)|Beyond the Poseidon Adventure (1979)|Napoleon and Samantha (1972)|Quest for Fire (1981)"
"I Love You, Don't Touch Me! (1998)","Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)"
Leather Jacket Love Story (1997),"Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)"
Love Walked In (1998),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)|Mary Reilly (1996)|City Hall (1996)|Taxi Driver (1976)|Babysitter, The (1995)|Disclosure (1994)|Death and the Maiden (1994)|Dolores Claiborne (1994)"
"Alan Smithee Film: Burn Hollywood Burn, An (1997)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Kissing a Fool (1998),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)
Krippendorf's Tribe (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Kurt & Courtney (1998),U2: Rattle and Hum (1988)|Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)
"Real Blonde, The (1997)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Mr. Nice Guy (1997),"I Love Trouble (1994)|Low Down Dirty Shame, A (1994)|Beverly Hills Cop III (1994)|Cowboy Way, The (1994)|Last Action Hero (1993)|Beverly Hills Ninja (1997)|Money Talks (1997)|Big Hit, The (1998)|Wrongfully Accused (1998)|Running Scared (1986)"
Taste of Cherry (1997),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Character (Karakter) (1997),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Junk Mail (1997),Another Stakeout (1993)|Head Above Water (1996)|Tainted (1998)|Homegrown (1998)|Zero Effect (1998)|Family Plot (1976)|Mona Lisa (1986)|Teaching Mrs. Tingle (1999)|Nurse Betty (2000)|So I Married an Axe Murderer (1993)
Species II (1998),"Species (1995)|Village of the Damned (1995)|Robert A. Heinlein's The Puppet Masters (1994)|Night of the Living Dead (1968)|Blob, The (1958)|Alien Escape (1995)|Plan 9 from Outer Space (1958)|Parasite (1982)|Lifeforce (1985)|Faculty, The (1998)"
Major League: Back to the Minors (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Sour Grapes (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Wild Man Blues (1998),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)
"Big Hit, The (1998)","I Love Trouble (1994)|Low Down Dirty Shame, A (1994)|Beverly Hills Cop III (1994)|Cowboy Way, The (1994)|Last Action Hero (1993)|Beverly Hills Ninja (1997)|Money Talks (1997)|Mr. Nice Guy (1997)|Wrongfully Accused (1998)|Running Scared (1986)"
Tarzan and the Lost City (1998),"Mortal Kombat (1995)|Waterworld (1995)|Good Man in Africa, A (1994)|Quest, The (1996)|Fled (1996)|Adventures of Robin Hood, The (1938)|Ghost and the Darkness, The (1996)|Raiders of the Lost Ark (1981)|Highlander (1986)|Indiana Jones and the Last Crusade (1989)"
"Truce, The (1996)","Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)|Schindler's List (1993)|Courage Under Fire (1996)|Nothing Personal (1995)|Michael Collins (1996)|Platoon (1986)|Paths of Glory (1957)|Apocalypse Now (1979)"
Black Dog (1998),"Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)|Die Hard: With a Vengeance (1995)|Natural Born Killers (1994)|River Wild, The (1994)|Mirage (1995)|Blown Away (1994)|Fugitive, The (1993)|In the Line of Fire (1993)"
"Dancer, Texas Pop. 81 (1998)","Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
"Friend of the Deceased, A (1997)","Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
Go Now (1995),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Misérables, Les (1998)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Still Breathing (1997),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)
Clockwatchers (1997),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Deep Impact (1998),"Guardian Angel (1994)|Johnny Mnemonic (1995)|Nemesis 2: Nebula (1995)|Outbreak (1995)|Terminator 2: Judgment Day (1991)|Tough and Deadly (1995)|Condition Red (1995)|Hostile Intentions (1994)|Solo (1996)|Arrival, The (1996)"
Little Men (1998),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Woo (1998),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)
"Hanging Garden, The (1997)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Lawn Dogs (1997),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Quest for Camelot (1998),"Pagemaster, The (1994)|Space Jam (1996)|Jumanji (1995)|Kids of the Round Table (1995)|Indian in the Cupboard, The (1995)|NeverEnding Story III, The (1994)|Escape to Witch Mountain (1975)|Labyrinth (1986)|Goonies, The (1985)|Darby O'Gill and the Little People (1959)"
Godzilla (1998),"Timecop (1994)|Highlander III: The Sorcerer (1994)|Demolition Man (1993)|No Escape (1994)|Barb Wire (1996)|Adrenalin: Fear the Rush (1996)|Fifth Element, The (1997)|Godzilla (Gojira) (1954)|Godzilla (Gojira) (1984)|King Kong vs. Godzilla (Kingukongu tai Gojira) (1962)"
Bulworth (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Fear and Loathing in Las Vegas (1998),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
"Opposite of Sex, The (1998)","Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
I Got the Hook Up (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Almost Heroes (1998),"Around the World in 80 Days (1956)|Adventures in Babysitting (1987)|Nothing But Trouble (1991)|Crocodile Dundee (1986)|Crocodile Dundee II (1988)|Vibes (1988)|Three Musketeers, The (1993)|Herbie Rides Again (1974)|Stand by Me (1986)|Jingle All the Way (1996)"
Hope Floats (1998),"American President, The (1995)|Something to Talk About (1995)|Don Juan DeMarco (1995)|Corrina, Corrina (1994)|I Like It Like That (1994)|What Happened Was... (1994)|Emma (1996)|Twelfth Night (1996)|Cinema Paradiso (1988)|Wings of Desire (Der Himmel über Berlin) (1987)"
