Title,RecommendedTitles
Toy Story (1995),"Aladdin and the King of Thieves (1996)|American Tail, An (1986)|American Tail: Fievel Goes West, An (1991)"
"Borrowers, The (1997)","Willy Wonka and the Chocolate Factory (1971)|Kid in King Arthur's Court, A (1995)|Space Jam (1996)"
Prince Valiant (1997),"Phantom, The (1996)|Mark of Zorro, The (1940)|Macao (1952)"
"I Love You, Don't Touch Me! (1998)",Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Leather Jacket Love Story (1997),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Love Walked In (1998),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
"Alan Smithee Film: Burn Hollywood Burn, An (1997)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Kissing a Fool (1998),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Krippendorf's Tribe (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Kurt & Courtney (1998),U2: Rattle and Hum (1988)|Across the Sea of Time (1995)|Nico Icon (1995)
"Real Blonde, The (1997)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Mr. Nice Guy (1997),"I Love Trouble (1994)|Low Down Dirty Shame, A (1994)|Beverly Hills Cop III (1994)"
Taste of Cherry (1997),Nixon (1995)|Othello (1995)|Now and Then (1995)
Character (Karakter) (1997),Nixon (1995)|Othello (1995)|Now and Then (1995)
Junk Mail (1997),Another Stakeout (1993)|Head Above Water (1996)|Tainted (1998)
Species II (1998),Species (1995)|Village of the Damned (1995)|Robert A. Heinlein's The Puppet Masters (1994)
Major League: Back to the Minors (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Sour Grapes (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Wild Man Blues (1998),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
"Big Hit, The (1998)","I Love Trouble (1994)|Low Down Dirty Shame, A (1994)|Beverly Hills Cop III (1994)"
Tarzan and the Lost City (1998),"Mortal Kombat (1995)|Waterworld (1995)|Good Man in Africa, A (1994)"
"Truce, The (1996)","Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)"
Black Dog (1998),Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)
"Dancer, Texas Pop. 81 (1998)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
"Friend of the Deceased, A (1997)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Go Now (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Mis�rables, Les (1998)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Still Breathing (1997),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Clockwatchers (1997),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Deep Impact (1998),Guardian Angel (1994)|Johnny Mnemonic (1995)|Nemesis 2: Nebula (1995)
Little Men (1998),Nixon (1995)|Othello (1995)|Now and Then (1995)
Woo (1998),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
"Hanging Garden, The (1997)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Lawn Dogs (1997),Nixon (1995)|Othello (1995)|Now and Then (1995)
Quest for Camelot (1998),"Pagemaster, The (1994)|Space Jam (1996)|Jumanji (1995)"
Godzilla (1998),Timecop (1994)|Highlander III: The Sorcerer (1994)|Demolition Man (1993)
Bulworth (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Fear and Loathing in Las Vegas (1998),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
"Opposite of Sex, The (1998)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
I Got the Hook Up (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Almost Heroes (1998),Around the World in 80 Days (1956)|Adventures in Babysitting (1987)|Nothing But Trouble (1991)
Hope Floats (1998),"American President, The (1995)|Something to Talk About (1995)|Don Juan DeMarco (1995)"
Insomnia (1997),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Little Boy Blue (1997),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Ugly, The (1997)",Relative Fear (1994)|In the Mouth of Madness (1995)|Thinner (1996)
"Perfect Murder, A (1998)","Just Cause (1995)|Underneath, The (1995)|True Crime (1995)"
Beyond Silence (1996),Nixon (1995)|Othello (1995)|Now and Then (1995)
Six Days Seven Nights (1998),"True Lies (1994)|Princess Bride, The (1987)|Jewel of the Nile, The (1985)"
Can't Hardly Wait (1998),"American President, The (1995)|Something to Talk About (1995)|Don Juan DeMarco (1995)"
Cousin Bette (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
High Art (1998),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
"Land Girls, The (1998)","Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)"
Passion in the Desert (1998),"White Squall (1996)|War, The (1994)|Old Man and the Sea, The (1958)"
"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Dear Jesse (1997),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Dream for an Insomniac (1996),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Hav Plenty (1997),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Henry Fool (1997),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Marie Baie Des Anges (1997),Nixon (1995)|Othello (1995)|Now and Then (1995)
Mr. Jealousy (1997),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Mulan (1998),"Balto (1995)|Gumby: The Movie (1995)|Swan Princess, The (1994)"
Resurrection Man (1998),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
"X-Files: Fight the Future, The (1998)",2001: A Space Odyssey (1968)|Event Horizon (1997)|Lawnmower Man 2: Beyond Cyberspace (1996)
I Went Down (1997),Batman Forever (1995)|Batman Returns (1992)|Best Men (1997)
Doctor Dolittle (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Out of Sight (1998),"True Romance (1993)|Truth or Consequences, N.M. (1997)|Run Lola Run (Lola rennt) (1998)"
Picnic at Hanging Rock (1975),"Confessional, The (Le Confessionnal) (1995)|Before and After (1996)|Hour of the Pig, The (1993)"
Smoke Signals (1998),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Voyage to the Beginning of the World (1997),Nixon (1995)|Othello (1995)|Now and Then (1995)
Buffalo 66 (1998),Get Shorty (1995)|Faster Pussycat! Kill! Kill! (1965)|Best Men (1997)
Armageddon (1998),"Escape from L.A. (1996)|Abyss, The (1989)|Escape from New York (1981)"
Lethal Weapon 4 (1998),Best Men (1997)|Lethal Weapon (1987)|Lethal Weapon 2 (1989)
Madeline (1998),"Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
Small Soldiers (1998),Quest for Camelot (1998)|Peter Pan (1953)|Watership Down (1978)
Pi (1998),"Lawnmower Man 2: Beyond Cyberspace (1996)|Screamers (1995)|Net, The (1995)"
Whatever (1998),Nixon (1995)|Othello (1995)|Now and Then (1995)
There's Something About Mary (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Plan 9 from Outer Space (1958),Species (1995)|Village of the Damned (1995)|Robert A. Heinlein's The Puppet Masters (1994)
Wings (1927),"Rob Roy (1995)|Colonel Chabert, Le (1994)|Casablanca (1942)"
"Broadway Melody, The (1929)","Meet Me in St. Louis (1944)|Gigi (1958)|Inspector General, The (1949)"
All Quiet on the Western Front (1930),Land and Freedom (Tierra y libertad) (1995)|Underground (1995)|Stalingrad (1993)
Cimarron (1931),Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)
Grand Hotel (1932),Nixon (1995)|Othello (1995)|Now and Then (1995)
Cavalcade (1933),Nixon (1995)|Othello (1995)|Now and Then (1995)
Mutiny on the Bounty (1935),"Phantom, The (1996)|Mark of Zorro, The (1940)|Macao (1952)"
"Great Ziegfeld, The (1936)","Meet Me in St. Louis (1944)|Gigi (1958)|Inspector General, The (1949)"
"Life of �mile Zola, The (1937)",Nixon (1995)|Othello (1995)|Now and Then (1995)
You Can't Take It With You (1938),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
How Green Was My Valley (1941),Nixon (1995)|Othello (1995)|Now and Then (1995)
Mrs. Miniver (1942),"Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)"
Going My Way (1944),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Lost Weekend, The (1945)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Best Years of Our Lives, The (1946)","Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)"
Gentleman's Agreement (1947),Nixon (1995)|Othello (1995)|Now and Then (1995)
Hamlet (1948),Nixon (1995)|Othello (1995)|Now and Then (1995)
All the King's Men (1949),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Greatest Show on Earth, The (1952)",Nixon (1995)|Othello (1995)|Now and Then (1995)
From Here to Eternity (1953),"Rob Roy (1995)|Colonel Chabert, Le (1994)|Casablanca (1942)"
On the Waterfront (1954),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)"
Marty (1955),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
West Side Story (1961),"Singin' in the Rain (1952)|American in Paris, An (1951)|My Fair Lady (1964)"
Tom Jones (1963),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Man for All Seasons, A (1966)",Nixon (1995)|Othello (1995)|Now and Then (1995)
In the Heat of the Night (1967),"Confessional, The (Le Confessionnal) (1995)|Before and After (1996)|Hour of the Pig, The (1993)"
Oliver! (1968),"Meet Me in St. Louis (1944)|Gigi (1958)|Inspector General, The (1949)"
Midnight Cowboy (1969),Nixon (1995)|Othello (1995)|Now and Then (1995)
"French Connection, The (1971)","Corruptor, The (1999)|Heat (1995)|Copycat (1995)"
Rocky (1976),"Target (1995)|Perfect World, A (1993)|Program, The (1993)"
Kramer Vs. Kramer (1979),Nixon (1995)|Othello (1995)|Now and Then (1995)
Ordinary People (1980),Nixon (1995)|Othello (1995)|Now and Then (1995)
Chariots of Fire (1981),Nixon (1995)|Othello (1995)|Now and Then (1995)
Terms of Endearment (1983),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Out of Africa (1985),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
"Last Emperor, The (1987)","Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)"
Rain Man (1988),Nixon (1995)|Othello (1995)|Now and Then (1995)
Driving Miss Daisy (1989),Nixon (1995)|Othello (1995)|Now and Then (1995)
Take the Money and Run (1969),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Klute (1971),"Confessional, The (Le Confessionnal) (1995)|Before and After (1996)|Hour of the Pig, The (1993)"
Repo Man (1984),Junior (1994)|Coneheads (1993)|Mystery Science Theater 3000: The Movie (1996)
Metropolitan (1990),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Labyrinth (1986),"Jumanji (1995)|Kids of the Round Table (1995)|Indian in the Cupboard, The (1995)"
"Breakfast Club, The (1985)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
"Nightmare on Elm Street Part 2: Freddy's Revenge, A (1985)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
"Nightmare on Elm Street 3: Dream Warriors, A (1987)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
"Nightmare on Elm Street 4: The Dream Master, A (1988)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
"Nightmare on Elm Street 5: The Dream Child, A (1989)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Freddy's Dead: The Final Nightmare (1991),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Friday the 13th (1980),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Friday the 13th Part 2 (1981),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Friday the 13th Part 3: 3D (1982),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Friday the 13th: The Final Chapter (1984),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Friday the 13th Part V: A New Beginning (1985),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Friday the 13th Part VI: Jason Lives (1986),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Friday the 13th Part VII: The New Blood (1988),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Friday the 13th Part VIII: Jason Takes Manhattan (1989),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Halloween (1978),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Halloween II (1981),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Halloween III: Season of the Witch (1983),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Halloween 4: The Return of Michael Myers (1988),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Halloween 5: The Revenge of Michael Myers (1989),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Prom Night (1980),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Hello Mary Lou: Prom Night II (1987),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Prom Night III: The Last Kiss (1989),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Prom Night IV: Deliver Us From Evil (1992),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Child's Play (1988),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Child's Play 2 (1990),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Child's Play 3 (1992),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Poltergeist (1982),Relative Fear (1994)|In the Mouth of Madness (1995)|Thinner (1996)
Poltergeist II: The Other Side (1986),Relative Fear (1994)|In the Mouth of Madness (1995)|Thinner (1996)
Poltergeist III (1988),Relative Fear (1994)|In the Mouth of Madness (1995)|Thinner (1996)
"Exorcist, The (1973)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Exorcist II: The Heretic (1977),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
"Exorcist III, The (1990)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Lethal Weapon (1987),Best Men (1997)|Lethal Weapon 4 (1998)|Lethal Weapon 2 (1989)
Lethal Weapon 2 (1989),Best Men (1997)|Lethal Weapon 4 (1998)|Lethal Weapon (1987)
Lethal Weapon 3 (1992),Best Men (1997)|Lethal Weapon 4 (1998)|Lethal Weapon (1987)
Gremlins (1984),Dracula: Dead and Loving It (1995)|Tales from the Hood (1995)|Cemetery Man (Dellamorte Dellamore) (1994)
Gremlins 2: The New Batch (1990),Dracula: Dead and Loving It (1995)|Tales from the Hood (1995)|Cemetery Man (Dellamorte Dellamore) (1994)
"Goonies, The (1985)","Jumanji (1995)|Kids of the Round Table (1995)|Indian in the Cupboard, The (1995)"
"Mask of Zorro, The (1998)",Cutthroat Island (1995)|First Knight (1995)|True Lies (1994)
Polish Wedding (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"This World, Then the Fireworks (1996)","Grifters, The (1990)|Hoodlum (1997)|Key Largo (1948)"
Soylent Green (1973),"Lawnmower Man 2: Beyond Cyberspace (1996)|Screamers (1995)|Net, The (1995)"
Metropolis (1926),"Alphaville (1965)|Brazil (1985)|Clockwork Orange, A (1971)"
Back to the Future Part II (1989),Junior (1994)|Coneheads (1993)|Mystery Science Theater 3000: The Movie (1996)
Back to the Future Part III (1990),Junior (1994)|City Slickers II: The Legend of Curly's Gold (1994)|Coneheads (1993)
"Poseidon Adventure, The (1972)","Mortal Kombat (1995)|Waterworld (1995)|Good Man in Africa, A (1994)"
Freaky Friday (1977),"Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
"Absent Minded Professor, The (1961)","Santa Clause, The (1994)|Kazaam (1996)|Flubber (1997)"
"Apple Dumpling Gang Rides Again, The (1979)","Apple Dumpling Gang, The (1975)|Big Green, The (1995)|Dunston Checks In (1996)"
Babes in Toyland (1961),"Peter Pan (1953)|Simple Wish, A (1997)|Muppet Christmas Carol, The (1992)"
Bambi (1942),"Balto (1995)|Gumby: The Movie (1995)|Swan Princess, The (1994)"
Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),"Target (1995)|Perfect World, A (1993)|Program, The (1993)"
Dangerous Liaisons (1988),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Dune (1984),"Dark Crystal, The (1982)|Navigator: A Mediaeval Odyssey, The (1988)|Time Bandits (1981)"
"Last Temptation of Christ, The (1988)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Godfather: Part III, The (1990)","Dead Presidents (1995)|Menace II Society (1993)|Godfather, The (1972)"
"Rapture, The (1991)","Confessional, The (Le Confessionnal) (1995)|Before and After (1996)|Hour of the Pig, The (1993)"
Lolita (1997),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Disturbing Behavior (1998),Relative Fear (1994)|In the Mouth of Madness (1995)|Thinner (1996)
Mafia! (1998),Striptease (1996)|Carpool (1996)|Some Like It Hot (1959)
Saving Private Ryan (1998),Braveheart (1995)|Heaven & Earth (1993)|Full Metal Jacket (1987)
Billy's Hollywood Screen Kiss (1997),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
East Palace West Palace (Dong gong xi gong) (1997),Nixon (1995)|Othello (1995)|Now and Then (1995)
"$1,000,000 Duck (1971)","Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
"Barefoot Executive, The (1971)","Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
"Black Cauldron, The (1985)","Balto (1995)|Gumby: The Movie (1995)|Swan Princess, The (1994)"
"Black Hole, The (1979)","Alphaville (1965)|Brazil (1985)|Clockwork Orange, A (1971)"
Blackbeard's Ghost (1968),"Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
Blank Check (1994),"Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
Candleshoe (1977),Herbie Rides Again (1974)|Jingle All the Way (1996)|Paulie (1998)
"Cat from Outer Space, The (1978)","Honey, I Blew Up the Kid (1992)|Big Green, The (1995)|Dunston Checks In (1996)"
Cheetah (1989),"Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)"
"Computer Wore Tennis Shoes, The (1970)","Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
Condorman (1981),"Inspector Gadget (1999)|Three Musketeers, The (1993)|Herbie Rides Again (1974)"
D2: The Mighty Ducks (1994),"Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
Darby O'Gill and the Little People (1959),"Jumanji (1995)|Kids of the Round Table (1995)|Indian in the Cupboard, The (1995)"
"Devil and Max Devlin, The (1981)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Far Off Place, A (1993)","Free Willy 2: The Adventure Home (1995)|Jungle Book, The (1994)|Free Willy (1993)"
Flight of the Navigator (1986),"Howard the Duck (1986)|Super Mario Bros. (1993)|20,000 Leagues Under the Sea (1954)"
"Gnome-Mobile, The (1967)","Baby-Sitters Club, The (1995)|Zeus and Roxanne (1997)|Adventures of Milo and Otis, The (1986)"
"Great Mouse Detective, The (1986)","Balto (1995)|Gumby: The Movie (1995)|Swan Princess, The (1994)"
"Happiest Millionaire, The (1967)","Joe's Apartment (1996)|Funny Face (1957)|Band Wagon, The (1953)"
Herbie Goes Bananas (1980),Herbie Rides Again (1974)|Jingle All the Way (1996)|Paulie (1998)
Herbie Goes to Monte Carlo (1977),Herbie Rides Again (1974)|Jingle All the Way (1996)|Paulie (1998)
Hocus Pocus (1993),"Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
"Honey, I Blew Up the Kid (1992)","Cat from Outer Space, The (1978)|Big Green, The (1995)|Dunston Checks In (1996)"
"Honey, I Shrunk the Kids (1989)","20,000 Leagues Under the Sea (1954)|Willy Wonka and the Chocolate Factory (1971)|Star Kid (1997)"
Hot Lead and Cold Feet (1978),City Slickers II: The Legend of Curly's Gold (1994)|Lightning Jack (1994)|Three Amigos! (1986)
In Search of the Castaways (1962),"Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)"
"Incredible Journey, The (1963)","Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)"
"Negotiator, The (1998)",Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)
"Parent Trap, The (1998)","Fluke (1995)|Little Princess, A (1995)|Secret Garden, The (1993)"
BASEketball (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Full Tilt Boogie (1997),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
"Governess, The (1998)",Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Seventh Heaven (Le Septi�me ciel) (1997),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Roger & Me (1989),"Big One, The (1997)|It Came from Hollywood (1982)|Original Kings of Comedy, The (2000)"
"Purple Rose of Cairo, The (1985)","American President, The (1995)|Something to Talk About (1995)|Don Juan DeMarco (1995)"
Out of the Past (1947),Force of Evil (1948)|Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)|Raw Deal (1948)
Doctor Zhivago (1965),"Rob Roy (1995)|Colonel Chabert, Le (1994)|Casablanca (1942)"
Fanny and Alexander (1982),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Trip to Bountiful, The (1985)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Tender Mercies (1983),Nixon (1995)|Othello (1995)|Now and Then (1995)
And the Band Played On (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
"'burbs, The (1989)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Fandango (1985),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Night Porter, The (Il Portiere di notte) (1974)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Mephisto (1981),"Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)"
Blue Velvet (1986),"Confessional, The (Le Confessionnal) (1995)|Before and After (1996)|Hour of the Pig, The (1993)"
"Journey of Natty Gann, The (1985)","Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)"
"Jungle Book, The (1967)",Aladdin (1992)|Steamboat Willie (1940)|Hercules (1997)
Kidnapped (1960),"Fluke (1995)|Little Princess, A (1995)|Secret Garden, The (1993)"
Lady and the Tramp (1955),"Little Mermaid, The (1989)|Pocahontas (1995)|Goofy Movie, A (1995)"
"Little Mermaid, The (1989)","Lady and the Tramp (1955)|Pocahontas (1995)|Goofy Movie, A (1995)"
"Mighty Ducks, The (1992)","Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
"Muppet Christmas Carol, The (1992)","Newsies (1992)|Lion King, The (1994)|Nightmare Before Christmas, The (1993)"
Newsies (1992),"Muppet Christmas Carol, The (1992)|Lion King, The (1994)|Nightmare Before Christmas, The (1993)"
101 Dalmatians (1961),"Balto (1995)|Gumby: The Movie (1995)|Swan Princess, The (1994)"
One Magic Christmas (1985),"Boy Who Could Fly, The (1986)|Faraway, So Close (In Weiter Ferne, So Nah!) (1993)|Bogus (1996)"
Peter Pan (1953),"Lion King, The (1994)|Snow White and the Seven Dwarfs (1937)|Beauty and the Beast (1991)"
Popeye (1980),Muppet Treasure Island (1996)|Joe's Apartment (1996)|Funny Face (1957)
"Rescuers Down Under, The (1990)","Balto (1995)|Gumby: The Movie (1995)|Swan Princess, The (1994)"
"Rescuers, The (1977)","Balto (1995)|Gumby: The Movie (1995)|Swan Princess, The (1994)"
Return from Witch Mountain (1978),"Cat from Outer Space, The (1978)|Flight of the Navigator (1986)|Honey, I Blew Up the Kid (1992)"
"Return of Jafar, The (1993)","Lion King, The (1994)|Snow White and the Seven Dwarfs (1937)|Beauty and the Beast (1991)"
Return to Oz (1985),"20,000 Leagues Under the Sea (1954)|Star Kid (1997)|Honey, I Shrunk the Kids (1989)"
"Rocketeer, The (1991)",Judge Dredd (1995)|Stargate (1994)|Star Trek: Generations (1994)
"Shaggy D.A., The (1976)","Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
Sleeping Beauty (1959),"Lion King, The (1994)|Snow White and the Seven Dwarfs (1937)|Beauty and the Beast (1991)"
Something Wicked This Way Comes (1983),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Son of Flubber (1963),"Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
Song of the South (1946),"Pete's Dragon (1977)|Hercules (1997)|Lion King, The (1994)"
Splash (1984),"Nutty Professor, The (1996)|Grumpier Old Men (1995)|Sabrina (1995)"
Squanto: A Warrior's Tale (1994),"White Squall (1996)|War, The (1994)|Old Man and the Sea, The (1958)"
Steamboat Willie (1940),"Aladdin (1992)|Jungle Book, The (1967)|Hercules (1997)"
Tall Tale (1994),"Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)"
Tex (1982),Nixon (1995)|Othello (1995)|Now and Then (1995)
Tron (1982),Star Wars: Episode IV - A New Hope (1977)|Star Wars: Episode I - The Phantom Menace (1999)|Judge Dredd (1995)
Swing Kids (1993),"Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)"
Halloween: H20 (1998),Relative Fear (1994)|In the Mouth of Madness (1995)|Thinner (1996)
L.A. Story (1991),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
"Jerk, The (1979)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Dead Men Don't Wear Plaid (1982),"Lock, Stock & Two Smoking Barrels (1998)|Goodbye, Lover (1999)|Big Lebowski, The (1998)"
"Man with Two Brains, The (1983)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Grand Canyon (1991),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)"
Graveyard Shift (1990),Relative Fear (1994)|In the Mouth of Madness (1995)|Thinner (1996)
"Outsiders, The (1983)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Indiana Jones and the Temple of Doom (1984),"Mortal Kombat (1995)|Waterworld (1995)|Good Man in Africa, A (1994)"
